,name,Code,lat,lon,ligne,ville
0,L'Etoile,SEM:GENLETOILE,45.13788,5.7033,A,Le Pont-de-Claix
1,Edmée Chandon,SEM:GENCHANDON,45.13671,5.7083,A,Le Pont-de-Claix
2,Denis Papin,SEM:GENDENPAPIN,45.13832,5.71307,A,Échirolles
3,Auguste Delaune,SEM:GENADELAUNE,45.14292,5.71527,A,Échirolles
4,Marie Curie,SEM:GENMARIECUR,45.14523,5.71704,A,Échirolles
5,La Rampe - Centre-Ville,SEM:GENRAMPE,45.14948,5.71818,A,Échirolles
6,Echirolles Gare,SEM:GENECHIGARE,45.15302,5.71848,A,Échirolles
7,Essarts - La Butte,SEM:GENESSARTS,45.15588,5.71909,A,Échirolles
8,Surieux,SEM:GENSURIEUX,45.15846,5.72192,A,Échirolles
9,Les Granges,SEM:GENGRANGES,45.15696,5.72781,A,Échirolles
10,Polesud - Alpexpo,SEM:GENPOLESUD,45.15715,5.73384,A,Grenoble
11,Grand'place,SEM:GENGRDPLACE,45.15893,5.73179,A,Grenoble
12,Arlequin,SEM:GENARLEQUIN,45.16359,5.73047,A,Grenoble
13,La Bruyère-Parc Jean Verlhac,SEM:GENBRUYERE,45.16635,5.73118,A,Grenoble
14,Malherbe,SEM:GENMALHERBE,45.16928,5.73229,A,Grenoble
15,MC2: Maison de la Culture,SEM:GENMAICULTU,45.17347,5.73206,A,Grenoble
16,Mounier,SEM:GENMOUNIER,45.179,5.73179,A,Grenoble
17,Albert 1er de Belgique,SEM:GENALB1BELG,45.18168,5.73167,A,Grenoble
18,Chavant,SEM:GENCHAVANT,45.18466,5.73177,A,Grenoble
19,Verdun - Préfecture,SEM:GENVERDUN,45.1883,5.73144,A,Grenoble
20,Hubert Dubedout - Maison du Tourisme,SEM:GENDUBEDOUT,45.1902,5.72822,A,Grenoble
21,Victor Hugo,SEM:GENVICTHUGO,45.18938,5.72499,A,Grenoble
22,Alsace-Lorraine,SEM:GENALSACELO,45.18911,5.7193,A,Grenoble
23,Gares,SEM:GENGARES,45.19078,5.71554,A,Grenoble
24,Saint-Bruno,SEM:GENSTBRUNO,45.18833,5.71351,A,Grenoble
25,Berriat-Le Magasin,SEM:GENBERRIAT,45.18878,5.70588,A,Grenoble
26,Les Fontainades - Le Vog,SEM:GENFONTAINA,45.18909,5.69844,A,Fontaine
27,Louis Maisonnat,SEM:GENMAISONNA,45.18912,5.69409,A,Fontaine
